Database,Table_Name,Data_Item_Name,Data_Item_Description,Data_Type,Code_(TBC),Code_Description_(TBC),Is_Derived_Item,Derivation_Methodology,Author,Created_Date,Data Dictionary Name,Data Dictionary Links
NHSE_IAPT,Appointment_v15,REFERRAL_ID,A sequential number allocated to uniquely identify a referral record in the reporting period.,bigint,,,No,,Amy Hutton,31/08/2017,,
NHSE_IAPT,Appointment_v15,APPOINTMENT_ID,A sequential number allocated to uniquely identify an appointment record in the reporting period.,bigint,,,No,,Amy Hutton,31/08/2017,,
NHSE_IAPT,Appointment_v15,IC_PATHWAY_ID,"An identifier, which together with theÿORGANISATION CODEÿ/ÿORGANISATION IDENTIFIERÿof the issuer, uniquely identifies aÿPATIENT PATHWAY.",bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Incremental value assigned to new SERVICEID and IAPT_PERSON_ID combinations. If such a combination has been received in a previous reporting period the record is assigned the same IC_PATHWAY_ID value.",Amy Hutton,31/08/2017,,
NHSE_IAPT,Appointment_v15,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),,,No,,Amy Hutton,31/08/2017,,
NHSE_IAPT,Appointment_v15,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),,,No,,Amy Hutton,31/08/2017,,
NHSE_IAPT,Appointment_v15,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Derived from submitted Header record within submission.",Amy Hutton,31/08/2017,ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,IC_SERVICEID,The unique identifier for aÿSERVICE REQUEST.ÿ,bigint,,,No,,Amy Hutton,31/08/2017,SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/ser/service_request_identifier_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,APPOINTMENT,The date of the appointment.,date,,,No,,Amy Hutton,31/08/2017,APPOINTMENT DATE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/ap/appointment_date_de.asp?shownav=1?
NHSE_IAPT,Appointment_v15,APPOINTMENTTIME,The time of the appointment.,varchar(10),,,No,,Amy Hutton,31/08/2017,APPOINTMENT TIME,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/ap/appointment_time_de.asp?shownav=1?
NHSE_IAPT,Appointment_v15,PRIMARYROLE,The primary role undertaken by aÿCARE PROFESSIONALÿadministering the therapy sessionÿin anÿImproving Access to Psychological Therapies Contact.,varchar(2),,,No,,Amy Hutton,31/08/2017,CARE PROFESSIONAL ROLE CODE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/care/care_professional_role_code_(improving_access_to_psychological_therapies)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,ATTENDANCE,This indicates whether or not an APPOINTMENT for a CARE CONTACT took place. If the APPOINTMENT did not take place it also indicates whether or not advanced warning was given.,varchar(1),,,No,,Amy Hutton,31/08/2017,ATTENDED OR DID NOT ATTEND CODE ,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/at/attended_or_did_not_attend_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,CONTACTDURATION,"The duration of the direct clinical contact at an APPOINTMENT in minutes, excluding any administration time prior to or after the contact and excluding the CARE PROFESSIONAL's travelling time to an APPOINTMENT.",int,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
This is calculated from the Start Time and End Time of the clinical contact at an APPOINTMENT.",Amy Hutton,31/08/2017,CLINICAL CONTACT DURATION OF APPOINTMENT,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clinical_contact_duration_of_appointment_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,APPTYPE,The typeÿof Improving Access to Psychological TherapiesÿAPPOINTMENT.,varchar(2),,,No,,Amy Hutton,31/08/2017,APPOINTMENT TYPE FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/ap/appointment_type_for_improving_access_to_psychological_therapies_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,CONSMEDIUM,"Identifies the communication mechanism used to relay information between the CARE PROFESSIONAL and the PERSON who is the subject of the consultation, during a CARE ACTIVITY.

The telephone or telemedicine consultation should directly support diagnosis and care planning and must replace a face to face Out-Patient Attendance Consultant, Clinic Attendance Nurse or Clinic Attendance Midwife, types of CARE ACTIVITY. A record of the telephone or telemedicine consultation must be retained in the PATIENT's records.

Telephone contacts solely for informing PATIENTS of results are excluded.",varchar(2),,,No,,Amy Hutton,31/08/2017,CONSULTATION MEDIUM USED,http://www.datadictionary.nhs.uk/data_dictionary/attributes/c/cons/consultation_medium_used_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,THERTYPE1,The type of therapy given to a patient or planned to be given to a patient during an appointment.,varchar(2),,,No,,Amy Hutton,31/08/2017,THERAPY TYPE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/therapy_type_(improving_access_to_psychological_therapies)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,THERTYPE2,The type of therapy given to a patient or planned to be given to a patient during an appointment.,varchar(2),,,No,,Amy Hutton,31/08/2017,THERAPY TYPE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/therapy_type_(improving_access_to_psychological_therapies)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,THERTYPE3,The type of therapy given to a patient or planned to be given to a patient during an appointment.,varchar(2),,,No,,Amy Hutton,31/08/2017,THERAPY TYPE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/therapy_type_(improving_access_to_psychological_therapies)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,THERTYPE4,The type of therapy given to a patient or planned to be given to a patient during an appointment.,varchar(2),,,No,,Amy Hutton,31/08/2017,THERAPY TYPE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/t/th/therapy_type_(improving_access_to_psychological_therapies)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,EMPSTATUS,The currentÿEMPLOYMENTÿstatus of aÿPERSON.,varchar(2),,,No,,Amy Hutton,31/08/2017,EMPLOYMENT STATUS,http://www.datadictionary.nhs.uk/data_dictionary/attributes/e/emp/employment_status_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,EMPSUPPORTIND,An indication of whether the PATIENT is a suitable candidate for referral to Employment Support.,varchar(2),,,No,,Amy Hutton,31/08/2017,EMPLOYMENT SUPPORT SUITABILITY INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/emp/employment_support_suitability_indicator_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,EMPSUPPORTREFERRAL,The date the PATIENT was referred for Employment Support.,datetime,,,No,,Amy Hutton,31/08/2017,EMPLOYMENT SUPPORT REFERRAL DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/e/emp/employment_support_referral_date_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,PSYCHMED,"An indication of whether the PATIENT is taking Psychotropic Medication, as stated by the PATIENT.",varchar(2),,,No,,Amy Hutton,31/08/2017,PSYCHOTROPIC MEDICATION USAGE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/psychotropic_medication_usage_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,SSPIND,"An indication of whether a person is currently receiving statutory sick pay, as stated by the person.",varchar(1),,,No,,Amy Hutton,31/08/2017,STATUTORY SICK PAY INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/stat/statutory_sick_pay_indicator_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,PHQ9_SCORE,The total score for questions 1-9 of the Patient Health Questionnaire (PHQ-9) assessment for the patient.,int,,,No,,Amy Hutton,31/08/2017,PHQ-9 TOTAL SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/ph/phq-9_total_score_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,GAD7SCORE,"This is the PERSON SCORE for an APPOINTMENT where the ASSESSMENT TOOL TYPE is 'Generalised Anxiety Disorder Questionnaire'.
The score will be between 0 and 21.
",int,,,No,,Amy Hutton,31/08/2017,GENERALISED ANXIETY DISORDER SCORE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/g/generalised_anxiety_disorder_score_de.asp
NHSE_IAPT,Appointment_v15,WSASWSCORE,"WORK AND SOCIAL ADJUSTMENT SCALE SCORE (WORK) is the PERSON SCORE for the Work and Social Adjustment Scale question relating to the PATIENT's 'ability to work'.

Work and Social Adjustment Scale (Work) is scored on a 0 to 8 scale: 0 indicates no impairment at all and 8 indicates very severe impairment. 

9 means N/A.",int,,,No,,Amy Hutton,31/08/2017,WORK AND SOCIAL ADJUSTMENT SCALE SCORE (WORK),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/work_and_social_adjustment_scale_score_(work)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,WSASHMSCORE,"WORK AND SOCIAL ADJUSTMENT SCALE SCORE (HOME MANAGEMENT) is the PERSON SCORE for the Work and Social Adjustment Scale question relating to the PATIENT's 'home management'.

Work and Social Adjustment Scale (Home Management) is scored on a 0 to 8 scale: 0 indicates no impairment at all and 8 indicates very severe impairment. ",int,,,No,,Amy Hutton,31/08/2017,WORK AND SOCIAL ADJUSTMENT SCALE SCORE (HOME MANAGEMENT),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/work_and_social_adjustment_scale_score_(home_management)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,WSASSLASCORE,"WORK AND SOCIAL ADJUSTMENT SCALE SCORE (SOCIAL LEISURE ACTIVITIES) is the PERSON SCORE for the Work and Social Adjustment Scale question relating to the PATIENT's 'social leisure activities'.

Work and Social Adjustment Scale (Social Leisure Activities) is scored on a 0 to 8 scale: 0 indicates no impairment at all and 8 indicates very severe impairment. ",int,,,No,,Amy Hutton,31/08/2017,WORK AND SOCIAL ADJUSTMENT SCALE SCORE (SOCIAL LEISURE ACTIVITIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/work_and_social_adjustment_scale_score_(social_leisure_activities)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,WSASPLASCORE,"WORK AND SOCIAL ADJUSTMENT SCALE SCORE (PRIVATE LEISURE ACTIVITIES) is the PERSON SCORE for the Work and Social Adjustment Scale question relating to the PATIENT's 'private leisure activities'.
Work and Social Adjustment Scale (Private Leisure Activities) is scored on a 0 to 8 scale: 0 indicates no impairment at all and 8 indicates very severe impairment. ",int,,,No,,Amy Hutton,31/08/2017,WORK AND SOCIAL ADJUSTMENT SCALE SCORE (PRIVATE LEISURE ACTIVITIES),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/work_and_social_adjustment_scale_score_(private_leisure_activities)_de.asp?shownav=1
NHSE_IAPT,Appointment_v15,WSASRSCORE,"WORK AND SOCIAL ADJUSTMENT SCALE SCORE (RELATIONSHIPS) is the PERSON SCORE for the Work and Social Adjustment Scale question relating to the PATIENT's 'close relationships'.

Work and Social Adjustment Scale (Relationships) is scored on a 0 to 8 scale: 0 indicates no impairment at all and 8 indicates very severe impairment. ",int,,,No,,Amy Hutton,31/08/2017,WORK AND SOCIAL ADJUSTMENT SCALE SCORE (RELATIONSHIPS),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/w/wo/work_and_social_adjustment_scale_score_(relationships)_de.asp?shownav=1
