Database,Table_Name,Data_Item_Name,Data_Item_Description,Data_Type,Code_(TBC),Code_Description_(TBC),Is_Derived_Item,Derivation_Methodology,Author,Created_Date,Data Dictionary Name,Data Dictionary Links
NHSE_Mental_Health,Master_MHS000_Header,BSPUniqID,A Unique ID applied when original data file was uploaded to the Bureau Service Portal (BSP).,int,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from lookup table that assigns an increasing incremental value to each of a providers submissions",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,DataType,An indication of whether the data held for a certain provider for a certain reporting period is current or historic.,varchar(4),,,Yes,"This field is populated during the NCDR load process. It marks each row within the table as either 'Current' or 'Historic'. I.e. when a record is first included, it is marked as 'Current', but when a refreshed version of the same record is included in the table, the old record is updated to be 'Historic' and the new record is marked as 'Current'.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,DateTimeDatSetCreate,Date/time this upload file was created ,datetime,,,No,,Amy Hutton,31/08/2017,DATE AND TIME DATA SET CREATED,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/date_and_time_data_set_created_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,DatSetVer,The version of the Mental Health Services Data Set (MHSDS) that this submission file is for.,decimal,,,No,,Amy Hutton,31/08/2017,DATA SET VERSION NUMBER,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/d/data_set_version_number_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,EndProcDateTime,The date and time processing was completed for this extract. Used internally.,datetime,,,No,,Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,FileType,An indication of whether the submitted file is a 'Primary' or 'Refresh' submission.,varchar(7),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
The returned value will be 'Primary' or 'Refresh' depending on the file type selected on submission.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,FinancialYear_Identifier,"Financial year of activity, e.g. 2016/17 etc. ",varchar(8),,,Yes,"Derived according to the reporting period the activity took place in, i.e. a reporting period starting on 01-06-2016 and ending on 30-06-2016 would be 2016/17",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,IC_Use_Submission_Flag,"Prioritises the type of submission per provider and reporting period. ÿ Where a refresh submission exists for the same provider and same reporting period, the refresh header record will be flagged.ÿ Where there is only a primary record present that will be flagged. ÿ Each provider has only one submission flagged per reporting period.",varchar(1),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
For each provider and reporting period combination, where at least one ?Refresh? and one ?Primary? submission exists, the ?Refresh? submission should be flagged as ?Y?. If there is only one file type for the combination, then the latest record should be flagged as ?Y?.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,MHS000UniqID,A unique row count for this table. This continues across reporting periods and across providers. This uniquely identifies a row of data within this table.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
The ID should be unique to each submission and record combination within this table. This continues across reporting periods and across providers.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,Month_ID,"A unique number representing the monthly reporting period in which the referral was submitted, e.g. 1400 for November 2016.",int,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. ",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,Month_Identifier,"The month number of the monthly reporting period in which the referral was submitted, e.g. M08 for November.",varchar(3),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. ",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,Month_Name,"The month of the monthly reporting period in which the referral was submitted, e.g. November.",varchar(15),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. ",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,OrgCodeProvider,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Derived from submitted Header record within submission.",Amy Hutton,31/08/2017,ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,OrgCodeSubmit,"This isÿthe ORGANISATION CODE of the ORGANISATION of the ORGANISATION acting as the physical sender of a Data Set submission.
This code provides an audit trail where a different organisation is undertaking the submission on behalf of the provider organisation.",varchar(50),,,No,,Amy Hutton,31/08/2017,ORGANISATION CODE (CODE OF SUBMITTING ORGANISATION),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_submitting_organisation)_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,PrimSystemInUse,The name of the Primary Data Collection System in use by the Health Care Provider.,varchar(50),,,No,,Amy Hutton,31/08/2017,PRIMARY DATA COLLECTION SYSTEM IN USE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pri/primary_data_collection_system_in_use_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,ReportingPeriodEndDate,REPORTING PERIOD END DATEÿis the start date of theÿREPORTING PERIODÿand is used in conjunction withÿREPORTING PERIOD START DATEÿto specify the actual period the reported information relates to.,date,,,No,,Amy Hutton,31/08/2017,REPORTING PERIOD END DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_end_date_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,ReportingPeriodStartDate,REPORTING PERIOD START DATEÿis the start date of theÿREPORTING PERIODÿand is used in conjunction withÿREPORTING PERIOD END DATEÿto specify the actual period the reported information relates to.,date,,,No,,Amy Hutton,31/08/2017,REPORTING PERIOD START DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/rep/reporting_period_start_date_de.asp?shownav=1
NHSE_Mental_Health,Master_MHS000_Header,TotMHS001,A total cumulative count of records included in the Master_MHS001_MPI table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS001_MPI within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS002,A total cumulative count of records included in the Master_MHS002_GP table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS002_GP within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS003,A total cumulative count of records included in the Master_MHS003_Accommodation table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS003_Accomodation within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS004,A total cumulative count of records included in the Master_MHS004_Employment table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS004_Employment within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS005,A total cumulative count of records included in the Master_MHS005_Patient_Indicators table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS005_Patient_Indicators within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS006,A total cumulative count of records included in the Master_MHS006_MH_Care_Coord table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS006_MH_Care_Coord within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS007,A total cumulative count of records included in the Master_MHS007_Disability_Type table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS007_Disability_Type within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS008,A total cumulative count of records included in the Master_MHS008_MH_CrisisPlan table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS008_MH_CrisisPlan within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS009,A total cumulative count of records included in the Master_MHS009_CarePlanAgreement table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS009_CarePlanAgreement within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS010,A total cumulative count of records included in the MHS010_AssTechToSupportDisTyp table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for MHS010_AssTechToSupportDisTyp within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS101,A total cumulative count of records included in the Master_MHS101_Referral table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS101_Referral within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS102,A total cumulative count of records included in the Master_MHS102_ServiceTypeReferredTo table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS102_ServiceTypeReferredTo within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS103,A total cumulative count of records included in the Master_MHS103_OtherReasonReferral table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS103_OtherReasonReferral within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS104,A total cumulative count of records included in the Master_MHS104_RTT table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS104_RTT within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS105,A total cumulative count of records included in the Master_MHS105_OnwardReferral table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS105_OnwardReferral within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS106,A total cumulative count of records included in the MHS106_DischargePlanAgreement table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for MHS106_DischargePlanAgreement within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS201,A total cumulative count of records included in the Master_MHS201_CareContact table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS201_CareContact within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS202,A total cumulative count of records included in the Master_MHS202_CareActivity table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS202_CareActivity within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS203,A total cumulative count of records included in the Master_MHS203_OtherAttend table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS203_OtherAttend within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS204,A total cumulative count of records included in the Master_MHS204_IndirectActivity table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS204_IndirectActivity within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS301,A total cumulative count of records included in the Master_MHS301_GroupSession table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS301_GroupSession within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS401,A total cumulative count of records included in the Master_MHS401_MHActPeriod table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS401_MHActPeriod within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS402,A total cumulative count of records included in the Master_MHS402_MH_RespClinicalAss table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS402_MH_RespClinicalAss within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
NHSE_Mental_Health,Master_MHS000_Header,TotMHS403,A total cumulative count of records included in the Master_MHS403_ConditionalDischarge table for a specific MHSDS post-deadline extract.,bigint,,,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR. 
Total count of rows for Master_MHS403_ConditionalDischarge within this MHSDS post-deadline extract.",Amy Hutton,31/08/2017,,
