,Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology ,Data Dictionary Name,Data Dictionary Links,Technical check,Business check
,1953,NHSE_IAPT,IAPT_Referral,REFERRAL_ID,A sequential number allocated to uniquely identify a referral record in the reporting period.,bigint,No,,,,ZA & AH,SS
,1954,NHSE_IAPT,IAPT_Referral,IC_PATHWAY_ID,"An identifier, which together with the ORGANISATION CODE / ORGANISATION IDENTIFIER of the issuer, uniquely identifies a PATIENT PATHWAY.",bigint,Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Incremental value assigned to new SERVICEID and IAPT_PERSON_ID combinations. If such a combination has been received in a previous reporting period the record is assigned the same IC_PATHWAY_ID value.",,,ZA & AH,SS
,1955,NHSE_IAPT,IAPT_Referral,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),No,,,,ZA & AH,SS
,1956,NHSE_IAPT,IAPT_Referral,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),No,,,,ZA & AH,SS
,1957,NHSE_IAPT,IAPT_Referral,ORGCODEPROVIDER,This is the ORGANISATION CODE of the ORGANISATION acting as a Health Care Provider. Derived from submitted Header record within submission.,varchar(6),Yes,"Derived as a part of NHS Digital's data processing, prior to importing to the NCDR.
Derived from submitted Header record within submission.",ORGANISATION CODE (CODE OF PROVIDER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_provider)_de.asp?shownav=1,ZA & AH,SS
,1958,NHSE_IAPT,IAPT_Referral,IC_SERVICEID,The unique identifier for a SERVICE REQUEST. ,bigint,No,,SERVICE REQUEST IDENTIFIER,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/ser/service_request_identifier_de.asp?shownav=1,ZA & AH,SS
,1959,NHSE_IAPT,IAPT_Referral,REFRECDATE,The date the REFERRAL REQUEST was received by the Health Care Provider.,date,No,,REFERRAL REQUEST RECEIVED DATE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ref/referral_request_received_date_de.asp?shownav=1,ZA & AH,SS
,1960,NHSE_IAPT,IAPT_Referral,SOURCEREFERRAL,The source of referral to a Mental Health Service.,varchar(2),No,,SOURCE OF REFERRAL FOR MENTAL HEALTH,http://www.datadictionary.nhs.uk/data_dictionary/attributes/s/smo/source_of_referral_for_mental_health_de.asp?shownav=1,ZA & AH,SS
,1961,NHSE_IAPT,IAPT_Referral,SERREQACCIND,"An indication of whether a service request was accepted by a health care provider for an IAPT service, following the initial appointment with the therapist.",varchar(1),No,,SERVICE REQUEST ACCEPTANCE INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/se/service_request_acceptance_indicator_de.asp?shownav=1,ZA & AH,SS
,1962,NHSE_IAPT,IAPT_Referral,ORGCODECOMM,ORGANISATION CODE (CODE OF COMMISSIONER) is the ORGANISATION CODE of the Organisation commissioning health care.,varchar(5),No,,ORGANISATION CODE (CODE OF COMMISSIONER),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organisation_code_(code_of_commissioner)_de.asp?shownav=1,ZA & AH,SS
,1963,NHSE_IAPT,IAPT_Referral,PROVDIAG,PROVISIONAL DIAGNOSIS (ICD) is the International Classification of Diseases (ICD) code used to identify the PROVISIONAL DIAGNOSIS.,varchar(6),No,,PROVISIONAL DIAGNOSIS (ICD),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/prod/provisional_diagnosis_(icd)_de.asp?shownav=1,ZA & AH,SS
,1964,NHSE_IAPT,IAPT_Referral,ONSETDATE,"The year and month the PATIENT first experienced the mental health symptoms, as stated by the PATIENT.",varchar(7),No,,YEAR AND MONTH OF SYMPTOMS ONSET FOR IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/y/year_and_month_of_symptoms_onset_(improving_access_to_psychological_therapies)_de.asp?shownav=1,ZA & AH,SS
,1965,NHSE_IAPT,IAPT_Referral,RECURIND,"An indication of whether this is a recurrence of a previously diagnosed condition, as stated by a person.",varchar(1),No,,PREVIOUS SYMPTOM INDICATOR,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pret/previous_symptom_indicator_de.asp,ZA & AH,SS
