Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Technical check,Business check,RK 2
775,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_* tables.,bigint,Yes,A unique integer assigned to the record in sequential order.  Does not represent any information about the patient.,,,RK,SS,
776,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,SS,
777,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_Raw_ID,An identifier on the raw data which is imported used during loading and processing.,int,No,,,,RK,SS,
778,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_File_ID,An identifier to distinguish between the AEA files during the load process.,int,Yes,Taken directly from the imported SEM AEA (Accident and Emergency attendances) table.,,,RK,SS,
779,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_DSCRO_Code,The DSCRO responsible for submitting the data.  Largely used for data processing rather than analysis.,varchar(3),Yes,Taken directly from the imported file to identify the DSCRO from which the data was received.,,,RK,SS,
780,NHSE_SEM_Live,tbl_Data_SEM_AEA,AEA_PCD_Indicator,"Indicates whether the attendance contains any PCD in free text fields. Any PCD is removed from the text fields and replaced with a marker within the string, e.g. if an NHS Number is found this is replaced with the text ""_<NHS_No>_"".",varchar(1),Yes,"Prior to pseudonymisation and publication, eight free text fields (Unique_CDS_Identifier, Unique_Booking_Reference_Number_Converted, Local_Patient_ID, Patient_Pathway_ID, Provider_Reference_Number, Commissioner_Reference_Number, Agreement_Line_Number, AEA_Attendance_Number) are scanned for NHS Number, Postcode and Date of Birth of the patient.  If any of these are found, the patient confidential data held within that field is stripped and replaced with a marker ('_<NHS_No>_', _<PC_' or '_<DoB_') and the record is flagged with a '1' in AEA_PCD_Indicator. ",,,RK,SS,
781,NHSE_SEM_Live,tbl_Data_SEM_AEA,Generated_Record_ID,An identifier applied by NHS Digital to each record prior to importing to the NCDR.,bigint,No,,,,RK,SS,
782,NHSE_SEM_Live,tbl_Data_SEM_AEA,Reason_For_Access,Details the reasons why the record is on the extract.,varchar(6),No,,,,RK,SS,
783,NHSE_SEM_Live,tbl_Data_SEM_AEA,CDS_Type,CDS TYPE CODE is a code to identify the specific type of Commissioning Data Set data.,varchar(3),No,,CDS TYPE CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_type_code_de.asp?shownav=1,RK,SS,
784,NHSE_SEM_Live,tbl_Data_SEM_AEA,Protocol_Identifier,CDS PROTOCOL IDENTIFIER CODE is a code to identify the Commissioning Data Set Submission Protocol associated with the transaction.,varchar(3),No,,CDS PROTOCOL IDENTIFIER CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cd/cds_protocol_identifier_code_de.asp?shownav=1,RK,SS,
