,Definition ID,Database,Table,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Technical check,Business check,RK 2
,512,NHSE_SEM_Live,tbl_Data_SEM_APCE,Address_Format_Code,A code to determine the format of the associated PATIENT USUAL ADDRESS data.,varchar(1),No,,ADDRESS FORMAT CODE,http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ad/address_format_code_de.asp?shownav=1,RK,SS,
,631,NHSE_SEM_Live,tbl_Data_SEM_APCE,Address_Format_Code_Mother,A code to determine the format of the associated PATIENT USUAL ADDRESS (MOTHER) data.,varchar(1),No,,ADDRESS FORMAT CODE (MOTHER),http://www.datadictionary.nhs.uk/retired/data_dictionary/data_field_notes/a/address_format_code_(mother)_de.asp?shownav=1,RK,SS,
,645,NHSE_SEM_Live,tbl_Data_SEM_APCE,Admin_Category_at_Start,The ADMINISTRATIVE CATEGORY CODE of the PATIENT at the start of the EPISODE of ADMITTED PATIENT CARE.,varchar(2),No,,ADMINISTRATIVE CATEGORY CODE (ON ADMISSION),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/a/ad/administrative_category_code_(on_admission)_de.asp?shownav=1,RK,SS,
,533,NHSE_SEM_Live,tbl_Data_SEM_APCE,Administrative_Category,The ADMINISTRATIVE CATEGORY CODE of the PATIENT.,varchar(2),No,,ADMINISTRATIVE CATEGORY  CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/administrative_category_code_de.asp?shownav=1,RK,SS,
,1035,NHSE_SEM_Live,tbl_Data_SEM_APCS,Administrative_Category,The ADMINISTRATIVE CATEGORY CODE of the PATIENT.,varchar(2),No,,ADMINISTRATIVE CATEGORY  CODE,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/administrative_category_code_de.asp?shownav=1,RK,SS,
,539,NHSE_SEM_Live,tbl_Data_SEM_APCE,Admission_Date,START DATE (HOSPITAL PROVIDER SPELL) is the same as attribute ACTIVITY DATE where the ACTIVITY DATE TYPE is National Code 'Start Date' of the Hospital Provider Spell.,date,No,,START DATE (HOSPITAL PROVIDER SPELL),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/star/start_date_(hospital_provider_spell)_de.asp?shownav=1?,RK,SS,
,1041,NHSE_SEM_Live,tbl_Data_SEM_APCS,Admission_Date,START DATE (HOSPITAL PROVIDER SPELL) is the same as attribute ACTIVITY DATE where the ACTIVITY DATE TYPE is National Code 'Start Date' of the Hospital Provider Spell.,datetime,No,,START DATE (HOSPITAL PROVIDER SPELL),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/star/start_date_(hospital_provider_spell)_de.asp?shownav=1?,RK,"? Data type should be date as per START DATE (HOSPITAL PROVIDER SPELL) ID 539, and suggested by DD",DT issue
,535,NHSE_SEM_Live,tbl_Data_SEM_APCE,Admission_Method,The method of admission to a Hospital Provider Spell.,varchar(2),No,,ADMISSION METHOD,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/admission_method_de.asp?shownav=1?,RK,SS,
,1037,NHSE_SEM_Live,tbl_Data_SEM_APCS,Admission_Method,The method of admission to a Hospital Provider Spell.,varchar(2),No,,ADMISSION METHOD,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/add/admission_method_de.asp?shownav=1?,RK,SS,
,540,NHSE_SEM_Live,tbl_Data_SEM_APCE,Admission_Time,START TIME (HOSPITAL PROVIDER SPELL) is the same as the attribute ACTIVITY TIME where the ACTIVITY TIME TYPE is National Code 'Start Time' of the Hospital Provider Spell.,varchar(8),No,,START TIME (HOSPITAL PROVIDER SPELL),http://www.datadictionary.nhs.uk/data_dictionary/data_field_notes/s/star/start_time_(hospital_provider_spell)_de.asp,RK,SS,
