Definition ID,Database,Table,Schema,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Checked,Business check,RK 2
56,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Der,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to aea tables. Use der_pseudo_nhs_number otherwise
75,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Der,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to aea tables. Use der_pseudo_nhs_number otherwise
94,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Der,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to aea tables. Use der_pseudo_nhs_number otherwise
115,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Der,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_* tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'. Can only link to aea tables. Use der_pseudo_nhs_number otherwise
57,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Der,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'
76,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Der,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'
95,NHSE_SEM_Live,tbl_Data_SEM_AEA_1516_Der,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'
116,NHSE_SEM_Live,tbl_Data_SEM_AEA_1617_Der,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned to each load file during processing.  Does not represent any information about the patient.,,,RK,AP,got rid of 'sequential'
58,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Der,dbo,AEA_Raw_ID,"An identifier on the raw data, i.e. assigned by NHS Digital prior to import to the NCDR, used during loading and processing.",bigint,No,,,,RK,AP,clarified
77,NHSE_SEM_Live,tbl_Data_SEM_AEA_1415_Der,dbo,AEA_Raw_ID,"An identifier on the raw data, i.e. assigned by NHS Digital prior to import to the NCDR, used during loading and processing.",bigint,No,,,,RK,AP,clarified
