Grouping,Item_Name,Description,Data_Type,Is_Derived_Item,NCDR_Derivation_Methodology,Link,Link Type,Author,Created_Date,Last_Update_By,Last_Update_Date,Present_In_Tables,Table 1,Table 2,Table 3,Table 4,Table 5,Table 6,Table 7,Table 8,Table 9,Table 10,Table 11,Table 12,Table 13,Table 14,Table 15,Table 16,Table 17,Table 18,Table 19,Table 20,Table 21,Table 22,Table 23,Table 24,Table 25,Table 26,Table 27,Table 28,Table 29,Table 30,Table 31,Table 32,Table 33,Table 34,Table 35,Table 36,Table 37,Table 38,Table 39,Table 40,Table 41,Table 42,Table 43,Table 44,Table 45,Table 46,Table 47,Table 48,Table 49,Table 50,Table 51,Table 52,Table 53,Table 54,Table 55,Table 56,Table 57,Table 58,Table 59,Table 60,Table 61,Table 62,Table 63,Table 64,Table 65,Table 66,Table 67,Table 68,Table 69,Table 70,Table 71,Table 72,Table 73,Table 74,Table 75,Table 76,Table 77,Table 78,Table 79,Table 80,Table 81,Table 82,Table 83,Table 84,Table 85,Table 86,Table 87,Table 88,Table 89,Table 90,Table 91,Table 92,Table 93,Table 94,Table 95,Table 96,Table 97,Table 98,Table 99,Table 100
IDs,REFERRAL_ID,A sequential number allocated to uniquely identify a referral record in the reporting period.,bigint,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.Assessments_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT.dbo.IAPT_Assessments;NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.IAPT_Treatments;NHSE_IAPT.dbo.IAPT_WaitingTimes;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT.dbo.Treatments_v15;;NHSE_IAPT.dbo.WaitingTimes_v15;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617;NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.Assessments_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT.dbo.IAPT_Assessments,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.IAPT_Treatments,NHSE_IAPT.dbo.IAPT_WaitingTimes,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT.dbo.Treatments_v15,,NHSE_IAPT.dbo.WaitingTimes_v15,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617,NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,BSP_UNIQUE_ID,A unique ID applied when original data file was uploaded to the Bureau Service Portal (BSP).,bigint,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Header_v15;NHSE_IAPT.dbo.IAPT_Header;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS;NHSE_IAPT_PILOT.dbo.LTCHEADER;NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION;NHSE_IAPT_PILOT.dbo.LTCMUS;NHSE_IAPT_AnnualRefresh.dbo.Header_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Header_v15,NHSE_IAPT.dbo.IAPT_Header,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS,NHSE_IAPT_PILOT.dbo.LTCHEADER,NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION,NHSE_IAPT_PILOT.dbo.LTCMUS,NHSE_IAPT_AnnualRefresh.dbo.Header_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,appointment_ID,A sequential number allocated to uniquely identify an appointment record in the reporting period.,bigint,Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,IAPT_RECORD_NUMBER,Record number is a sequential number allocated to uniquely identify a person and provider combination within each month's submission.,varchar(16),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.Assessments_v15;NHSE_IAPT.dbo.Disability_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT.dbo.IAPT_Assessments;NHSE_IAPT.dbo.IAPT_Disability;NHSE_IAPT.dbo.IAPT_Person;NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.IAPT_Treatments;;NHSE_IAPT.dbo.IAPT_WaitingTimes;NHSE_IAPT.dbo.Person_v15;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT.dbo.Treatments_v15;NHSE_IAPT.dbo.WaitingTimes_v15;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS;NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION;NHSE_IAPT_PILOT.dbo.LTCMUS;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617;NHSE_IAPT_AnnualRefresh.dbo.Disability_1617;NHSE_IAPT_AnnualRefresh.dbo.Person_1617;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617;NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.Assessments_v15,NHSE_IAPT.dbo.Disability_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT.dbo.IAPT_Assessments,NHSE_IAPT.dbo.IAPT_Disability,NHSE_IAPT.dbo.IAPT_Person,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.IAPT_Treatments,,NHSE_IAPT.dbo.IAPT_WaitingTimes,NHSE_IAPT.dbo.Person_v15,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT.dbo.Treatments_v15,NHSE_IAPT.dbo.WaitingTimes_v15,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS,NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION,NHSE_IAPT_PILOT.dbo.LTCMUS,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617,NHSE_IAPT_AnnualRefresh.dbo.Disability_1617,NHSE_IAPT_AnnualRefresh.dbo.Person_1617,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617,NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDs,IAPT_PERSON_ID,A pseudonymised unique patient identifier (NHS number being patient identifiable) to enable linkage across IAPT tables.,varchar(20),Yes - External,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.Assessments_v15;NHSE_IAPT.dbo.Disability_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT.dbo.IAPT_Assessments;NHSE_IAPT.dbo.IAPT_Disability;NHSE_IAPT.dbo.IAPT_Person;NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.IAPT_Treatments;;NHSE_IAPT.dbo.IAPT_WaitingTimes;NHSE_IAPT.dbo.Person_v15;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT.dbo.Treatments_v15;NHSE_IAPT.dbo.WaitingTimes_v15;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS;NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION;NHSE_IAPT_PILOT.dbo.LTCMUS;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617;NHSE_IAPT_AnnualRefresh.dbo.Disability_1617;NHSE_IAPT_AnnualRefresh.dbo.Person_1617;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617;NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.Assessments_v15,NHSE_IAPT.dbo.Disability_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT.dbo.IAPT_Assessments,NHSE_IAPT.dbo.IAPT_Disability,NHSE_IAPT.dbo.IAPT_Person,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.IAPT_Treatments,,NHSE_IAPT.dbo.IAPT_WaitingTimes,NHSE_IAPT.dbo.Person_v15,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT.dbo.Treatments_v15,NHSE_IAPT.dbo.WaitingTimes_v15,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS,NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION,NHSE_IAPT_PILOT.dbo.LTCMUS,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617,NHSE_IAPT_AnnualRefresh.dbo.Disability_1617,NHSE_IAPT_AnnualRefresh.dbo.Person_1617,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617,NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrgCode,ORGCODEPROVIDER,The organisation code of the organisation acting as a health care provider. Derived from submitted header record within submission.,varchar(50),No,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.Assessments_v15;NHSE_IAPT.dbo.Disability_v15;NHSE_IAPT.dbo.Header_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT.dbo.IAPT_Assessments;NHSE_IAPT.dbo.IAPT_Disability;NHSE_IAPT.dbo.IAPT_Header;NHSE_IAPT.dbo.IAPT_Person;;NHSE_IAPT.dbo.IAPT_Referral;NHSE_IAPT.dbo.IAPT_Treatments;NHSE_IAPT.dbo.IAPT_WaitingTimes;NHSE_IAPT.dbo.Person_v15;NHSE_IAPT.dbo.Referral_v15;NHSE_IAPT.dbo.Treatments_v15;NHSE_IAPT.dbo.WaitingTimes_v15;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS;NHSE_IAPT_PILOT.dbo.LTCHEADER;NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION;NHSE_IAPT_PILOT.dbo.LTCMUS;NHSE_Mental_Health.dbo.Master_MHS000_Header;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617;NHSE_IAPT_AnnualRefresh.dbo.Disability_1617;NHSE_IAPT_AnnualRefresh.dbo.Header_1617;NHSE_IAPT_AnnualRefresh.dbo.Person_1617;NHSE_IAPT_AnnualRefresh.dbo.Referral_1617;NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617;NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.Assessments_v15,NHSE_IAPT.dbo.Disability_v15,NHSE_IAPT.dbo.Header_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT.dbo.IAPT_Assessments,NHSE_IAPT.dbo.IAPT_Disability,NHSE_IAPT.dbo.IAPT_Header,NHSE_IAPT.dbo.IAPT_Person,,NHSE_IAPT.dbo.IAPT_Referral,NHSE_IAPT.dbo.IAPT_Treatments,NHSE_IAPT.dbo.IAPT_WaitingTimes,NHSE_IAPT.dbo.Person_v15,NHSE_IAPT.dbo.Referral_v15,NHSE_IAPT.dbo.Treatments_v15,NHSE_IAPT.dbo.WaitingTimes_v15,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_PILOT.dbo.LTCCSRI3MONTHS,NHSE_IAPT_PILOT.dbo.LTCHEADER,NHSE_IAPT_PILOT.dbo.LTCLONGTERMCONDITION,NHSE_IAPT_PILOT.dbo.LTCMUS,NHSE_Mental_Health.dbo.Master_MHS000_Header,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,NHSE_IAPT_AnnualRefresh.dbo.Assessments_1617,NHSE_IAPT_AnnualRefresh.dbo.Disability_1617,NHSE_IAPT_AnnualRefresh.dbo.Header_1617,NHSE_IAPT_AnnualRefresh.dbo.Person_1617,NHSE_IAPT_AnnualRefresh.dbo.Referral_1617,NHSE_IAPT_AnnualRefresh.dbo.Treatments_1617,NHSE_IAPT_AnnualRefresh.dbo.WaitingTimes_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,appointmentdate,The date of the appointment.,date,No,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/ap/appointment_date_de.asp?shownav=1?,NHS Data Model And Dictionary,Nathan Abbotts,11/10/17,,,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates & Times,appointmenttime,The time of the appointment.,varchar(10),No,N/A,http://www.datadictionary.nhs.uk/data_dictionary/attributes/a/ap/appointment_time_de.asp?shownav=1?,NHS Data Model And Dictionary,Nathan Abbotts,11/10/17,,,NHSE_IAPT.dbo.Appointment_v15;NHSE_IAPT.dbo.IAPT_Appointment;NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT.dbo.Appointment_v15,NHSE_IAPT.dbo.IAPT_Appointment,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,NHSE_IAPT_AnnualRefresh.dbo.Appointment_1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,FATIGUE,Chalder fatigue questionnaire total score.,int,No,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values,IBSSEVERITYSCALE,"The person score for an appointment where the assessment tool type is ""Francis IBS Symptom Severity Scale"".",int,No,N/A,http://content.digital.nhs.uk/iapt,NHS Digital - IAPT,Nathan Abbotts,11/10/17,,,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,NHSE_IAPT_PILOT.dbo.LTCAPPOINTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
