,Definition ID,Database,Table,Schema,Data Item,Description,Data type,Is_Derived_Item,Derivation_Methodology,Data Dictionary Name,Data Dictionary Links,Technical check,Business check,RK 2
,1,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,AEA_Ident,Primary Key - Use this field to join to the other tbl_Data_SEM_AEA_*  tables.,bigint,Yes,A unique integer assigned to the record.  Does not represent any information about the patient.,,,RK,PR,
,2,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,AEA_Load_ID,An identifier assigned during loading to aid processing.,int,Yes,An identifier assigned in sequential order to each load file during processing.  Does not represent any information about the patient.,,,RK,PR,
,3,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,AEA_Raw_ID,An identifier in the raw data which is imported. Used during loading and processing.,bigint,No,,,,RK,PR,
,4,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,HRG_Code,2013/14 version of Healthcare Resource Groups (HRGs) which are standard groupings of clinically similar treatments which use common levels of healthcare resource.,varchar(6),Yes,"For full details, please see the NHS Digital owned documentation at http://content.digital.nhs.uk/article/2580/HRG4-201314-Local-Payment-Grouper",Healthcare Resource Groups,http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/healthcare_resource_group_de.asp?shownav=1,RK,PR: Changed RK Description,Y
,5,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Tariff_Total_Payment,The base 2013/14 national tariff.,decimal,Yes,"When AEA_Department_Type is '1', '01', '2' or '02' then Tariff_1 is applied, when it is '3' or '03' then Tariff_2 is applied, otherwise this field is left null.",,,RK,PR,
,6,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Local_Total_Payment,The base 2013/14 local payment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,7,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Local_Contractual_Adj,The base 2013/14 local contractual adjustment (Currently not populated within the NCDR).,decimal,Yes,Derivation methodology yet to be developed.,,,RK,PR,
,8,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Net_SLA_Payment,Net Service Level Agreement payment for 2013/14.,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Local_Contractual_Adj where Cost_Type is 'Tariff' or 'Local'.",,,RK,PR,
,9,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Tariff_MFF_Payment,The 2013/14 MFF payment for the attendance.,decimal,Yes,"The value of Market Forces Factor (MFF) for the provider for the relevant year minus 1, multiplied by the Net_SLA_Payment.
Applied when Cost_Type is 'Tariff'; when this is not the case, this field is set to '0'.",,,RK,PR,
,10,NHSE_SEM_Live,tbl_Data_SEM_AEA_1314_Cost,dbo,Grand_Total_Payment,The 2013/14 total payment for the attendance (Net_SLA_Payment + Tariff_MFF_Payment).,decimal,Yes,"The sum total of Tariff_Total_Payment, Local_Total_Payment and Tariff_MFF_Payment.",,,RK,PR,
